1 J083 TJ086 4 6 N AECD 5 0.001
1 ACFD P2B1
2 DBAC P0B3
3 ACDA P1B2
4 ADCD P3B0
5 AECD P4B0
2 J055 TI025 4 6 N EFAD 4 0.001
1 FEEA P0B3
2 FDAC P1B2
3 EAFC P1B2
4 EFAD P4B0
3 J019 PN071 4 6 N CBDF 7 0.002
1 CDCE P1B1
2 CEEA P1B0
3 CCBB P1B1
4 BDEB P0B2
5 CBDD P3B0
6 CBFD P2B2
7 CBDF P4B0
4 J001 ER015 4 6 N ECAB 5 0.000
1 ABFE P0B3
2 FBAF P1B1
3 BEAA P1B2
4 FAEA P0B2
5 ECAB P4B0
5 J028 QW046 4 6 N FAEB 5 0.000
1 DBDF P0B2
2 CBEA P1B2
3 FCBA P1B2
4 BDCA P0B2
5 FAEB P4B0
6 J055 LM094 4 6 N EABD 5 0.000
1 ADCF P0B2
2 BDBE P1B2
3 DBBA P1B2
4 BEDA P0B4
5 EABD P4B0
7 J019 OG004 4 6 N CDBA 3 0.000
1 CABF P2B1
2 FADC P0B3
3 CDBA P4B0
8 J063 WG074 4 6 N BEDF 5 0.001
1 CCAF P1B0
2 BBEE P1B1
3 EBAA P0B2
4 DCEB P0B3
5 BEDF P4B0
9 J093 CN031 4 6 N BEAC 5 0.001
1 CACC P1B1
2 DBFA P0B2
3 CEAB P2B2
4 AECB P1B3
5 BEAC P4B0
10 J010 KL096 4 6 N BEDF 6 0.002
1 FEBA P1B2
2 ACCD P0B1
3 EBAA P0B2
4 FDEB P0B4
5 DFBE P0B4
6 BEDF P4B0
11 J083 TJ086 4 6 S EDCA 3 0.000
1 CEDF P0B3
2 BBFD P0B1
3 EDCA P4B0
12 J079 RP048 4 6 S BCCB 4 0.000
1 AFBE P0B1
2 CCBE P1B2
3 CBCB P2B2
4 BCCB P4B0
13 J031 SB004 4 6 S DCEE 7 0.003
1 CDAB P0B2
2 BBDD P0B1
3 AABA P0B0
4 DCCC P2B0
5 DEEC P2B2
6 DECE P2B2
7 DCEE P4B0
14 J038 IL032 4 6 S EFFB 5 0.000
1 FFBF P1B2
2 BDEB P1B1
3 FBFB P2B1
4 DFFB P3B0
